PROV_TERR_EN,BENEFICIARY_NAME_EN,BENEFICIARY_BAND_NBR,ASSET_CLASS_EN,PROJECT_NAME_EN,PROJECT_DESC_EN,PROJECT_STAGE_EN,LATITUDE,LONGITUDE,COORD_SYS
Manitoba,Sagkeeng Mino Pimatiziwin Family Treatment Centre Inc.,9999,Health,Renovation of an existing treatment centre facility.,Renovation of an existing treatment centre facility.,Ongoing,50.476600000000005,-102.3947,GCS_North_American_1983_CSRS
Ontario,Weeneebayko Area Health Authority,9999,Health,Renovation of an existing hospital facility.,Renovation of an existing hospital facility.,Completed,51.249722,-80.617352,GCS_North_American_1983_CSRS
British Columbia,Aboriginal Firefighters Association of Canada,9999,Transformation,Indigenous Fire Marshal's Office,The Aboriginal Firefighters Association of Canada is a united body of regional First Nations Fire Protection Associations from across Canada. They are currently working to create the Indigenous Fire Marshal's Office and are engaging across Canada to determine the scope governance and structure of the future organization.,Ongoing,52.280646,-122.1451,GCS_North_American_1983_CSRS
Newfoundland And Labrador,Nunatsiavut Government,9999,Culture and recreation,New Illusuak Cultural Centre Project,This project involves the construction of a new cultural facility to highlight Inuit culture and to provide a place within Labrador to host arts and culture programs.,Completed,56.542996,-61.692305,GCS_North_American_1983_CSRS
Newfoundland And Labrador,Nunatsiavut Government,9999,Solid waste management,Waste Diversion Programs,This project is to develop waste diversion programs for five communities with an overarching waste management plan for all five communities.,Completed,56.542996,-61.692305,GCS_North_American_1983_CSRS
Newfoundland And Labrador,Nunatsiavut Government,9999,Solid waste management,Nunatsiavut Sustainable Waste Management Program2017-18,Site?specific waste site plans for each Inuit Community including proposed sites for new landfills as well as engineering for necessary improvements to current landfills to improve the environmental integrity of the sites.Educational and outreach materials for the Inuit communities explaining the proposed sustainable waste management activities and improvements to implement the regional waste management plan and local initiatives to improve waste management.Report on the transportation of recyclable metals and hazardous wastes from Nunatsiavut to final destinations.,Completed,56.542996,-61.692305,GCS_North_American_1983_CSRS
Newfoundland And Labrador,Nunatsiavut Government,9999,Solid waste management,Nunatsiavut Community Solid Waste Management and Development,Nunatsiavut is looking to implement more recycling activities awareness and education promotion and community clean-ups.,Ongoing,56.542996,-61.692305,GCS_North_American_1983_CSRS
Ontario,First Nations National Building Officers Association,9999,Housing,Radio Program Capacity and Mentoring,Through the First Nations National Building Officers Association this project will support increased capacity in First Nations communities in the area of housing management governance and construction. Funding is provided for advisory support and mentorship to First Nations and Tribal Councils workshops career fairs and radio segments highlighting successful community initiatives.,Completed,44.197428,-77.229917,GCS_North_American_1983_CSRS
Quebec,Aboriginal Savings Corporation of Canada,7326,Housing,Development of a Housing Financial Model,Development of a housing financial model for workers on the reserve.,Ongoing,48.399538,-71.100692,GCS_North_American_1983_CSRS
Quebec,Aboriginal Savings Corporation of Canada,7326,Housing,Identification of the Deterrent Effects of Home Ownership,Identification of the deterrent effects of home ownership on on-reserve access to property.,Ongoing,48.399538,-71.100692,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Economic Developers Association,6987,Housing,Housing as a Business,Opinion paper and project to create a revolving loan toolkit.,Completed,46.532771,-84.255195,GCS_North_American_1983_CSRS
Saskatchewan,Saskatchewan Indian Institute of Technologies,5206,Energy sustainability and connectivity,Connectivity Improvements,Upgrades to Saskatchewan Indian Institute of Technologies for the connectivity within their campuses.,Completed,52.1297648,-106.5872042,GCS_North_American_1983_CSRS
Quebec,Regroupement Mamit Innuat inc.,1140,Water and wastewater,Operator Training,Operator training (OPA),Ongoing,50.21953703,-66.38179892,GCS_North_American_1983_CSRS
Quebec,Regroupement Mamit Innuat inc.,1140,Water and wastewater,Specific Training on Water Systems,Planning the flushing of water systems training operators and purchasing equipment for this activity.,Ongoing,50.21953703,-66.38179892,GCS_North_American_1983_CSRS
Ontario,Shibogama First Nations Council,1075,Solid waste management,Northern Ontario First Nations Conference 2017,Support for waste management/landfill training at the Northern Ontario First Nations Conference.,Completed,50.098699,-91.921144,GCS_North_American_1983_CSRS
Alberta,Tribal Chiefs Ventures Incorporated,1027,Solid waste management,Waste Management Feasibility Study and Environmental Site Assessment,This project is to conduct a waste management feasibility study and environmental site assessment.,Completed,53.550491,-113.623559,GCS_North_American_1983_CSRS
British Columbia,Naut'sa mawt Tribal Council,1024,Solid waste management,Waste Education Toolkit Implementation,Complete piloting of the Waste Education Toolkit. After completion distribute toolkits to up to 60 First Nations schools for year one of implementation.,Completed,49.112115,-123.053037,GCS_North_American_1983_CSRS
British Columbia,Naut'sa mawt Tribal Council,1024,Solid waste management,Waste Management and Monitoring - Drone Program,Develop a waste management and monitoring program by training a pilot group of six First Nations in the use of drones.,Ongoing,49.112115,-123.053037,GCS_North_American_1983_CSRS
British Columbia,Naut'sa mawt Tribal Council,1024,Solid waste management,Earth Day and Community Waste Initiative Grants,Providing grants to eligible communities for the purpose of celebrating Earth Day. Nations typically focus on carrying out clean-up days and developing educational material to promote waste and environmental management on the land. Providing grants to eligible communities to develop recycling/composting initiatives including education promotion and clean-up activities.,Completed,49.112115,-123.053037,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Solid waste management,Multi-Community Feasibility Assessments,Complete feasibility assessments for nations in the Cariboo North East North West Bulkley/Nechako and Northern Island regions to assess needs and capacities to develop feasible long-term waste management systems that will lead to a work plan. 13 communities to be completed in 2018-2019 15 communities to be completed for 2019-2020. Others will be identified at a subsequent date.,Ongoing,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Aboriginal Head Start on Reserve,Maintenance and repairs to an existing early learning and child care facility.,Maintenance and repairs to an existing early learning and child care facility.,Completed,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Aboriginal Head Start on Reserve,Renovation of an existing early learning and child care facility.,Renovation of an existing early learning and child care facility.,Completed,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Nee-Tahi-Buhn,726,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,53.93295696,-125.66736571,GCS_North_American_1983_CSRS
British Columbia,Nee-Tahi-Buhn,726,Housing,Immediate Needs - Renovations,To complete renovations and additions of 2 housing units. ,Ongoing,53.93295696,-125.66736571,GCS_North_American_1983_CSRS
British Columbia,Nee-Tahi-Buhn,726,Housing,Capacity - Governance,To conduct housing management workshops and home ownership policy toolkit.,Completed,53.93295696,-125.66736571,GCS_North_American_1983_CSRS
British Columbia,Nee-Tahi-Buhn,726,Housing,Capacity - Management,To conduct housing management workshops and home ownership policy toolkit.,Completed,53.93295696,-125.66736571,GCS_North_American_1983_CSRS
British Columbia,Naut'sa mawt Tribal Council,1024,Solid waste management,British Columbia First Nations Waste and Environmental Advisory Committee Meeting,This funding request will support Naut'sa mawt Tribal Council to coordinate logistics for a meeting of First Nations lands and environment staff from around British Columbia (BC) to determine whether BC First Nations would like to be involved in an Indigenous-led waste and environmental advisory committee. The idea of creating regional committees came from a headquarters initiative. ,Completed,49.112115,-123.053037,GCS_North_American_1983_CSRS
British Columbia,Skin Tyee Nation,729,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,53.99520631,-125.88224343,GCS_North_American_1983_CSRS
British Columbia,Skin Tyee Nation,729,Housing,Capacity - Governance,To conduct housing management workshops and home ownership policy toolkit.,Completed,53.99520631,-125.88224343,GCS_North_American_1983_CSRS
British Columbia,Skin Tyee Nation,729,Housing,Capacity - Management,To conduct housing management workshops and home ownership policy toolkit.,Completed,53.99520631,-125.88224343,GCS_North_American_1983_CSRS
British Columbia,Skin Tyee Nation,729,Solid waste management,Community Recycling Initiatives and Waste Tool Kit,Support for community-based recycling initiatives and the development of a waste education tool kit for First Nations schools.,Completed,53.99520631,-125.88224343,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Water and wastewater,Water System Improvement to Yekooche 3 ,Upgrading existing water system to meet design guidelines and level of service standards.,Ongoing,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Housing,Capacity - Governance,To conduct housing management workshops and home ownership policy toolkit.,Completed,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Housing,Capacity - Management,To conduct housing management workshops and home ownership policy toolkit.,Completed,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Operator Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Solid waste management,Multi-community Program-wide Solid Waste Initiative,Training end-of-life vehicle removals operations and maintenance planning minor upgrades.,Ongoing,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Education facilities,Jean Marie Joseph School Mechanical System Renewal,Replacement of school boilers.,Ongoing,54.597878,-125.082199,GCS_North_American_1983_CSRS
British Columbia,Yekooche First Nation,728,Solid waste management,Earth Day Solid Waste Initiative,Coordinate solid waste awareness programming for Earth Day.,Completed,54.597878,-125.082199,GCS_North_American_1983_CSRS
Alberta,Technical Services Advisory Group,9999,Solid waste management,Program Support,Community awareness.,Completed,53.543415,-113.636046,GCS_North_American_1983_CSRS
Alberta,Technical Services Advisory Group,9999,Solid waste management,Solid Waste Engineering Support,Engineering support services for design tendering and construction for solid waste projects.,Ongoing,53.543415,-113.636046,GCS_North_American_1983_CSRS
Alberta,Technical Services Advisory Group,9999,Solid waste management,Solid Waste Training and Community Cleanup,Solid waste training and community cleanup.,Ongoing,53.543415,-113.636046,GCS_North_American_1983_CSRS
Alberta,Technical Services Advisory Group,9999,Transformation,Proof of Concept,The Technical Services Advisory Group is working to build new First Nations-controlled collaborative mechanisms to support First Nations community infrastructure. Activities include a pre-feasibility study to determine the scope of existing First Nations infrastructure in Alberta the goals of First Nations funding gap implications for socio-economic development and other implications and links.,Ongoing,53.543415,-113.636046,GCS_North_American_1983_CSRS
Ontario,Grand Council Treaty #3,9999,Solid waste management,Waste Study,Study.,Ongoing,49.782534,-94.439395,GCS_North_American_1983_CSRS
Quebec,Centre Miam Uapukun inc.,9999,Health,Renovation of an existing treatment centre facility.,Renovation of an existing treatment centre facility.,Completed,50.212528,-66.20566699999999,GCS_North_American_1983_CSRS
British Columbia,First Nations Infrastructure Institution,9999,Transformation,Proof of Concept,First Nations infrastructure institution including a national institution for standards and support and regional institutions to deliver services support jurisdiction of First Nations communities over their infrastructure and support projects that increase economic and fiscal benefits. Includes communications and engagement demonstration projects and a technical paper to support options.,Ongoing,50.681122,-120.295105,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Technical Services Corporation,9999,Solid waste management,Natural Attenuation Landfill Training and Waste Diversion Sessions,This project is to develop and deliver landfill operator and waste diversion training.,Completed,43.647862,-79.39290299999999,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Technical Services Corporation,9999,Solid waste management,Ontario First Nation Regional Solid Waste Assessment and Diversion Support Project,Ontario First Nation regional solid waste assessment and diversion support project.,Completed,43.647862,-79.39290299999999,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Technical Services Corporation,9999,Solid waste management,Assessment and Diversion Project,Assessment and diversion project.,Ongoing,43.647862,-79.39290299999999,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Technical Services Corporation,9999,Solid waste management,Solid Waste Training and Waste Audit,Solid waste training and waste audit.,Ongoing,43.647862,-79.39290299999999,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Technical Services Corporation,9999,Solid waste management,Ontario First Nations Waste Strategy,Ontario First Nations waste strategy.,Ongoing,43.647862,-79.39290299999999,GCS_North_American_1983_CSRS
Ontario,Ontario First Nations Technical Services Corporation,9999,Solid waste management,Hazardous Waste Training,Hazardous waste training.,Ongoing,43.647862,-79.39290299999999,GCS_North_American_1983_CSRS
Saskatchewan,Mistahey Musqua Treatment Centre,9999,Health,Design and construction of a new treatment centre facility.,Design and construction of a new treatment centre facility.,Completed,54.053763,-109.283796,GCS_North_American_1983_CSRS
Ontario,Anishinaabeg of Kabapikotawangag Resource Council Inc.,9416,Solid waste management,Waste Coordinator,Waste coordinator.,Ongoing,49.375868,-93.992,GCS_North_American_1983_CSRS
Quebec,Aboriginal Savings Corporation of Canada,7326,Housing,Housing Investment Funds,To provide housing investment funds.,Completed,48.399538,-71.100692,GCS_North_American_1983_CSRS
Quebec,Aboriginal Savings Corporation of Canada,7326,Water and wastewater,Lots Servicing Initiative - Phase One,Various communities  pooled drinking water and wastewater infrastructure.,Ongoing,48.399538,-71.100692,GCS_North_American_1983_CSRS
Quebec,Aboriginal Savings Corporation of Canada,7326,Housing,Investment Downpayment Auto Loan Guarantee Initiative,Innovation project supported by the Quebec Region and Indigenous Services Canada headquarters related to the Tripartite Regional Housing Committees draft Regional Housing Strategy to support access to property and the development of local housing markets. ,Ongoing,48.399538,-71.100692,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Solid waste management,Community Recycling Initiatives and Waste Tool Kit,Support for community-based recycling initiatives and the development of a waste education tool kit for First Nations schools.,Completed,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Solid waste management,Transfer Station Upgrades and Recycling System,Upgrades to waste and recycling transfer stations in Canoe Creek and Dog Creek to facilitate recycling bulky waste management and household hazardous waste management.  Implementation of a community recycling program.,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Transformation,First Nations Asset Management,The Asset Management Program (AMP) is a new Capital Facilities and Maintenance Program initiative that supports Indigenous communities to manage their infrastructure in a more sustainable way by allowing communities to manage assets proactively and take preventative measures. The AMP supports improved service levels and better medium and long-term social and economic outcomes for community residents. ,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Aboriginal Head Start on Reserve,Renovation of an existing early learning and child care facility.,Renovation of an existing early learning and child care facility.,Completed,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Ulkatcho First Nation,722,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,52.46728595,-125.30667568,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Operator Association (FNOWN),This program supports the ongoing development of the First Nation Operator Waters Net of British Columbia and Yukon Territory (FN OWN).,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Solid waste management,Recyling and Transfer Station Upgrade to the Canoe Creek Facility and Design for the Dog Creek Transfer Station,This project is to conduct a feasibility assessment and for the start-up of recycling and transfer of recyclables to provide upgrades to existing Canoe Creek Station and design of the Dog Creek transfer facility.,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Solid waste management,Multi-community Program-wide Solid Waste Initiative,Training end-of-life vehicle removals operations and maintenance planning minor upgrades.,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Housing,Housing - Renovations,To improve housing conditions in community by completing renovations of 5 housing units. ,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Education facilities,Building Circuit Rider Training Program,Pilot program for school maintenance. ,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Nee-Tahi-Buhn,726,Energy sustainability and connectivity,Strengthening Comprehensive Community Planning Nationally,Provision of training to strengthen skills and knowledge on comprehensive community planning nationally.,Ongoing,53.93295696,-125.66736571,GCS_North_American_1983_CSRS
British Columbia,Nee-Tahi-Buhn,726,Energy sustainability and connectivity,Comprehensive Community Planning Workshop 2017,Annual comprehensive community planning workshop.,Ongoing,53.93295696,-125.66736571,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Water and wastewater,Water Source Assessment and Treatment Study,New groundwater source and water treatment plant that includes disinfection iron/manganese and arsenic treatment. Request under the Long-Term Drinking Water Advisories category.,Ongoing,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Energy sustainability and connectivity,Pathways to Technology ,Enhancement of community Internet access including schools.,Completed,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Housing,Capacity - Governance,To conduct housing management workshops and home ownership policy toolkit.,Completed,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Housing,Capacity - Management,To conduct housing management workshops and home ownership policy toolkit.,Completed,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Operator Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Operator Association (FNOWN),This program supports the ongoing development of the First Nation Operator Waters Net of British Columbia and Yukon Territory (FN OWN).,Ongoing,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Solid waste management,Multi-community Program-wide Solid Waste Initiative,Training end-of-life vehicle removals operations and maintenance planning minor upgrades.,Ongoing,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Wet'suwet'en First Nation,725,Energy sustainability and connectivity,Land Use Planning ,Funding support to develop a community-led land use plan that underlines community's vision including priorities strategies and policies for lands and resources use and infrastructure development.,Completed,54.3307194,-125.88822968,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Fundamental community infrastructure,River Protection,River protection to protect on- and off-reserve infrastructure in Tsulquate IR #4 from flooding.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Education facilities,Elementary School Repair and Rehabilitation,School roof/skylight window repair and other upgrades.,Completed,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Education facilities,Elementary School Expansion/Kindergarten Replacement,This project is required to expand current school in order to have kindergarten 4 and kindergarten 5 rooms tied to the existing building and eliminate portables. Expansion would include a multipurpose space with a kitchen a library and computer lab.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Housing,Immediate Needs - Multi-Units and Lot Servicing,To complete construction of 3 duplexes for a total of 6 housing units.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Housing,Immediate Needs - Renovations,To complete renovations of 10 housing units. ,Completed,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Housing,Capacity - Governance,To conduct housing management workshops and home ownership policy toolkit.,Completed,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Housing,Capacity - Management,To conduct housing management workshops and home ownership policy toolkit.,Completed,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Operator Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Energy sustainability and connectivity,Strengthening Comprehensive Community Planning Nationally,Provision of training to strengthen skills and knowledge on comprehensive community planning nationally.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Energy sustainability and connectivity,National Comprehensive Community Planning Mentor Capacity Development (Handbook Tools and Website),This is a project for the National Comprehensive Community Planning Mentor Capacity Development (Handbook Tools and Website).,Completed,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Energy sustainability and connectivity,Comprehensive Community Planning Workshop 2017,Annual comprehensive community planning workshop.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Housing,Housing - Renovations,To improve housing conditions in community by completing renovations of 10 housing units. ,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Gwa'Sala-Nakwaxda'xw,724,Energy sustainability and connectivity,Connected Coast,Connected Coast is a federal-provincial cost-shared project that will bring new or improved high-speed internet to 154 rural and remote communities in British Columbia including 44 First Nations.,Ongoing,50.73417041,-127.49641098,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Water and wastewater,New Water Treatment Plant Dog Creek I.R. # 1,Design and construct a new water treatment plant.,Completed,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Housing,Immediate Needs - Renovations,To complete renovations of 8 housing units and additions to 2 other housing units for a total of 10 units.,Completed,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Housing,Capacity - Governance,To conduct housing management workshops and home ownership policy toolkit.,Completed,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Housing,Capacity - Management,To conduct housing management workshops and home ownership policy toolkit.,Completed,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Operator Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Stswecem'c Xgat'tem First Nation,723,Water and wastewater,First Nations Water and Wastewater Educational Program Projects - Thompson River University Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,51.58884021,-122.20895149,GCS_North_American_1983_CSRS
British Columbia,Lhoosk'uz Dene Nation,721,Education facilities,Building Circuit Rider Training Program,Pilot program for school maintenance. ,Ongoing,53.087346,-124.49016127,GCS_North_American_1983_CSRS
British Columbia,Nazko First Nation,720,Housing,Housing Support Group,To support the development of housing authority models.,Ongoing,52.94125621,-123.58066173,GCS_North_American_1983_CSRS
British Columbia,Nazko First Nation,720,Energy sustainability and connectivity,2016-2017 Nazko Comprehensive Community Planning Revision,Revision of the Nazko First Nation's 2016-2017 comprehensive community plan.,Completed,52.94125621,-123.58066173,GCS_North_American_1983_CSRS
